,0
0,3
1,0
2,3
3,3
4,0
5,0
6,3
7,0
8,3
9,3
10,0
11,3
12,3
13,3
14,0
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,0
31,0
32,2
33,2
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,2
48,0
49,0
50,0
51,2
52,0
53,2
54,0
55,2
56,0
57,0
58,0
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,3
71,0
72,0
73,0
74,0
75,0
76,2
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,2
86,0
87,0
88,0
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,3
106,3
107,3
108,0
109,0
110,0
111,3
112,0
113,3
114,3
115,0
116,3
117,3
118,0
119,3
120,0
121,0
122,0
123,2
124,0
125,0
126,2
127,2
128,0
129,2
130,2
131,2
132,0
133,0
134,2
135,1
136,2
137,1
138,1
139,1
140,2
141,1
142,2
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,0
151,3
152,3
153,3
154,3
155,3
156,0
157,0
158,3
159,0
160,3
161,0
162,0
163,0
164,3
165,2
166,2
167,0
168,2
169,2
170,2
171,0
172,2
173,2
174,2
175,0
176,2
177,2
178,0
179,2
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,2
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,3
226,3
227,0
228,3
229,0
230,0
231,0
232,0
233,3
234,3
235,0
236,0
237,0
238,0
239,3
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,2
249,1
250,1
251,1
252,1
253,1
254,1
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,0
272,0
273,2
274,0
275,0
276,0
277,0
278,0
279,0
280,2
281,0
282,2
283,2
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,0
316,0
317,2
318,0
319,2
320,2
321,0
322,2
323,0
324,0
325,0
326,2
327,0
328,2
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,2
346,0
347,0
348,2
349,2
350,0
351,0
352,0
353,0
354,2
355,2
356,2
357,2
358,2
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,1
387,2
388,2
389,2
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,3
402,0
403,0
404,0
405,0
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,0
414,3
415,0
416,3
417,3
418,3
419,0
420,2
421,2
422,2
423,0
424,2
425,2
426,0
427,2
428,2
429,2
430,2
431,2
432,2
433,0
434,2
435,3
436,3
437,3
438,3
439,0
440,3
441,3
442,0
443,3
444,3
445,0
446,3
447,3
448,3
449,3
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,3
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,0
526,3
527,3
528,3
529,3
530,0
531,3
532,3
533,0
534,0
535,3
536,3
537,0
538,0
539,0
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,2
559,2
560,2
561,0
562,0
563,2
564,2
565,0
566,0
567,0
568,2
569,2
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,3
581,3
582,3
583,3
584,3
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,2
593,0
594,0
595,0
596,2
597,2
598,2
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,3
614,0
615,3
616,3
617,3
618,3
619,3
620,3
621,0
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,2
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,2
669,0
670,0
671,0
672,0
673,0
674,0
675,2
676,2
677,2
678,2
679,2
680,2
681,2
682,2
683,2
684,0
685,2
686,2
687,2
688,2
689,2
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,2
706,2
707,1
708,2
709,1
710,2
711,2
712,2
713,2
714,1
715,2
716,2
717,1
718,2
719,2
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,3
731,3
732,3
733,3
734,3
735,1
736,2
737,2
738,2
739,2
740,1
741,1
742,1
743,2
744,2
745,1
746,2
747,1
748,2
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,3
758,3
759,0
760,0
761,0
762,0
763,0
764,0
765,3
766,3
767,3
768,3
769,0
770,0
771,3
772,3
773,3
774,0
775,3
776,0
777,3
778,3
779,3
780,2
781,1
782,1
783,2
784,2
785,2
786,2
787,1
788,1
789,1
790,2
791,2
792,1
793,2
794,2
795,1
796,2
797,1
798,2
799,1
800,1
801,1
802,1
803,1
804,1
805,2
806,2
807,2
808,2
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,0
826,0
827,0
828,0
829,3
830,0
831,0
832,0
833,0
834,0
835,3
836,0
837,3
838,0
839,0
840,0
841,0
842,2
843,2
844,2
845,2
846,2
847,0
848,2
849,0
850,2
851,0
852,2
853,2
854,0
855,2
856,2
857,1
858,2
859,1
860,2
861,1
862,1
863,2
864,2
865,1
866,2
867,2
868,2
869,1
870,0
871,0
872,0
873,0
874,0
875,2
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,2
886,2
887,1
888,2
889,2
890,1
891,2
892,1
893,1
894,2
895,1
896,1
897,2
898,1
899,2
900,3
901,3
902,3
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,3
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,2
933,2
934,1
935,1
936,1
937,1
938,2
939,2
940,1
941,2
942,2
943,1
944,1
945,3
946,0
947,0
948,3
949,3
950,0
951,0
952,3
953,3
954,2
955,0
956,0
957,3
958,0
959,0
960,3
961,3
962,3
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,3
975,0
976,0
977,2
978,2
979,0
980,0
981,2
982,0
983,0
984,0
985,2
986,2
987,2
988,2
989,2
990,1
991,2
992,1
993,1
994,2
995,1
996,2
997,1
998,1
999,2
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,0
1007,2
1008,0
1009,2
1010,2
1011,0
1012,0
1013,0
1014,2
1015,0
1016,0
1017,0
1018,0
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,2
1033,2
1034,2
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,3
1051,3
1052,3
1053,3
1054,3
1055,3
1056,3
1057,3
1058,3
1059,3
1060,3
1061,3
1062,3
1063,3
1064,3
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1076,2
1077,2
1078,2
1079,2
1080,1
1081,2
1082,2
1083,2
1084,2
1085,0
1086,2
1087,2
1088,0
1089,2
1090,2
1091,2
1092,2
1093,0
1094,2
1095,2
1096,2
1097,0
1098,2
1099,0
1100,2
1101,0
1102,0
1103,2
1104,0
1105,0
1106,0
1107,2
1108,0
1109,0
1110,3
1111,3
1112,0
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,0
1122,0
1123,3
1124,3
1125,0
1126,2
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,2
1136,2
1137,2
1138,0
1139,2
1140,0
1141,2
1142,2
1143,2
1144,0
1145,2
1146,2
1147,2
1148,2
1149,0
1150,2
1151,2
1152,0
1153,0
1154,0
1155,2
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,2
1163,2
1164,2
1165,2
1166,2
1167,2
1168,2
1169,2
1170,0
1171,3
1172,0
1173,0
1174,0
1175,3
1176,3
1177,3
1178,3
1179,3
1180,3
1181,0
1182,3
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,3
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,2
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,3
1231,3
1232,3
1233,3
1234,3
1235,3
1236,3
1237,3
1238,3
1239,3
1240,3
1241,3
1242,3
1243,3
1244,3
1245,3
1246,3
1247,3
1248,3
1249,3
1250,3
1251,3
1252,3
1253,3
1254,3
1255,3
1256,3
1257,3
1258,3
1259,0
1260,3
1261,3
1262,3
1263,3
1264,3
1265,3
1266,3
1267,3
1268,3
1269,3
1270,3
1271,3
1272,0
1273,3
1274,3
1275,3
1276,0
1277,0
1278,0
1279,0
1280,3
1281,3
1282,3
1283,0
1284,0
1285,3
1286,0
1287,0
1288,3
1289,0
1290,3
1291,3
1292,3
1293,3
1294,3
1295,3
1296,3
1297,3
1298,3
1299,3
1300,3
1301,3
1302,3
1303,3
1304,3
1305,3
1306,3
1307,3
1308,3
1309,3
1310,3
1311,3
1312,3
1313,3
1314,3
1315,3
1316,3
1317,3
1318,3
1319,3
1320,3
1321,3
1322,3
1323,3
1324,3
1325,3
1326,3
1327,3
1328,3
1329,3
1330,3
1331,3
1332,3
1333,3
1334,3
1335,3
1336,3
1337,3
1338,3
1339,3
1340,3
1341,3
1342,3
1343,3
1344,3
1345,3
1346,3
1347,0
1348,3
1349,0
1350,3
1351,3
1352,3
1353,3
1354,3
1355,3
1356,3
1357,3
1358,3
1359,3
1360,3
1361,3
1362,3
1363,3
1364,3
1365,2
1366,1
1367,2
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,2
1391,2
1392,0
1393,2
1394,0
1395,2
1396,2
1397,2
1398,2
1399,2
1400,2
1401,2
1402,1
1403,2
1404,1
1405,2
1406,1
1407,2
1408,2
1409,1
1410,3
1411,3
1412,0
1413,3
1414,3
1415,3
1416,3
1417,0
1418,3
1419,0
1420,3
1421,3
1422,0
1423,3
1424,0
1425,2
1426,2
1427,2
1428,2
1429,2
1430,2
1431,2
1432,2
1433,2
1434,2
1435,2
1436,2
1437,2
1438,2
1439,2
1440,1
1441,2
1442,1
1443,2
1444,1
1445,2
1446,2
1447,1
1448,2
1449,2
1450,2
1451,1
1452,1
1453,1
1454,1
1455,0
1456,2
1457,2
1458,0
1459,0
1460,2
1461,2
1462,0
1463,2
1464,0
1465,2
1466,2
1467,2
1468,0
1469,0
1470,2
1471,2
1472,0
1473,2
1474,0
1475,2
1476,2
1477,2
1478,0
1479,2
1480,0
1481,2
1482,2
1483,2
1484,2
1485,1
1486,2
1487,1
1488,2
1489,2
1490,2
1491,2
1492,2
1493,2
1494,2
1495,1
1496,2
1497,2
1498,2
1499,2
1500,2
1501,2
1502,2
1503,2
1504,2
1505,2
1506,2
1507,2
1508,2
1509,2
1510,2
1511,2
1512,2
1513,2
1514,2
1515,0
1516,2
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,3
1531,3
1532,3
1533,3
1534,3
1535,3
1536,3
1537,3
1538,3
1539,3
1540,3
1541,3
1542,3
1543,3
1544,3
1545,2
1546,2
1547,2
1548,2
1549,0
1550,2
1551,2
1552,2
1553,2
1554,2
1555,0
1556,0
1557,0
1558,2
1559,2
1560,2
1561,2
1562,2
1563,2
1564,2
1565,2
1566,2
1567,2
1568,2
1569,2
1570,2
1571,2
1572,2
1573,2
1574,2
1575,0
1576,2
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,2
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,2
1597,1
1598,1
1599,1
1600,1
1601,2
1602,1
1603,1
1604,1
1605,1
1606,1
1607,2
1608,2
1609,2
1610,1
1611,1
1612,1
1613,2
1614,1
1615,1
1616,2
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,2
1636,0
1637,0
1638,2
1639,0
1640,0
1641,1
1642,0
1643,0
1644,0
1645,2
1646,2
1647,0
1648,2
1649,2
1650,2
1651,2
1652,2
1653,1
1654,2
1655,1
1656,2
1657,2
1658,2
1659,2
1660,2
1661,1
1662,2
1663,2
1664,1
1665,2
1666,2
1667,2
1668,2
1669,2
1670,1
1671,2
1672,1
1673,2
1674,1
1675,2
1676,1
1677,1
1678,1
1679,2
1680,2
1681,2
1682,2
1683,2
1684,2
1685,2
1686,2
1687,2
1688,2
1689,2
1690,2
1691,2
1692,2
1693,2
1694,2
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,3
1711,3
1712,3
1713,3
1714,3
1715,3
1716,3
1717,3
1718,3
1719,3
1720,3
1721,3
1722,3
1723,3
1724,3
1725,3
1726,3
1727,3
1728,3
1729,3
1730,3
1731,3
1732,3
1733,3
1734,3
1735,3
1736,3
1737,3
1738,3
1739,3
1740,0
1741,0
1742,2
1743,0
1744,0
1745,2
1746,0
1747,0
1748,2
1749,0
1750,0
1751,0
1752,2
